Age	Temperature
0.254	-2.18058680016713
0.256	-2.15134636550004
0.258	-2.14221501445029
0.26	-2.08605908124094
0.262	-2.0888092157614
0.264	-2.11347366137079
0.266	-2.10773200271405
0.268	-2.13165589185163
0.27	-2.16073356800161
0.272	-2.16073356800161
0.274	-2.11522944186482
0.276	-2.13590297441453
0.278	-2.10550922275827
0.28	-2.05694420142549
0.282	-2.00466901327261
0.284	-1.94852336223267
0.286	-1.89895479989968
0.288	-1.84590480637288
0.29	-1.89425452021976
0.292	-1.59631830318438
0.294	-1.96225104668306
0.296	-2.04970718815177
0.298	-2.10550922275827
0.3	-1.96225104668306
0.302	-2.07820281024643
0.304	-2.01491966408194
0.306	-1.93737672735018
0.308	-1.91059979518514
0.31	-1.88239747936836
0.312	-1.78194298153565
0.314	-2.05454029932456
0.316	-1.84590480637288
0.318	-1.58083130539711
0.32	-1.6962767304405
0.322	-1.60016229799622
0.324	-1.72786368434215
0.326	-1.26085366831184
0.328	-1.28925632650298
0.33	-1.3079422508464
0.332	-1.17291563632987
0.334	-0.940114933407124
0.336	-1.16590214612872
0.338	-1.76866912665619
0.34	-1.92209469426584
0.342	-2.05309391280553
0.344	-2.16275288492672
0.346	-2.26257257000961
0.348	-1.91751467350571
0.35	-2.19593227780431
0.352	-2.09200282111406
0.354	-2.14011878982756
0.356	-2.10103948489548
0.358	-2.15667207130396
0.36	-2.15052241807956
0.362	-2.14430347278168
0.364	-2.15257997924526
0.366	-2.16073356800161
0.368	-2.12090050625742
0.37	-2.04970718815177
0.372	-2.06883786513969
0.374	-2.08283566461609
0.376	-2.06410550026602
0.378	-1.98533429543126
0.38	-1.94575046364526
0.382	-2.05454029932456
0.384	-1.93287685526027
0.386	-2.01491966408194
0.388	-1.91751467350571
0.39	-1.83781375672947
0.392	-1.8582237666233
0.394	-1.84280069471068
0.396	-1.69982848303091
0.398	-1.81442122726607
0.4	-1.7368310973187
0.402	-1.43327088853983
0.404	-1.15785567524956
0.406	-1.56122136838584
0.408	-1.3079422508464
0.41	-1.11403508829635
0.412	-1.37804621428547
0.414	-1.48994111638382
0.416	-1.92323597258782
0.418	-1.97199466437769
0.42	-1.96225104668306
0.422	-1.95239006221147
0.424	-2.31087069227418
0.426	-2.28310606999518
0.428	-2.11566758875042
0.43	-2.11522944186482
0.432	-2.19932018058452
0.434	-2.17549728862046
0.436	-2.19593227780431
0.438	-2.15789372673246
0.44	-2.15422049608585
0.442	-2.15052241807956
0.444	-2.03993925543388
0.446	-2.03747598195818
0.448	-2.03500415782044
0.45	-2.06883786513969
0.452	-2.10103948489548
0.454	-2.13165589185163
0.456	-2.17667627579028
0.458	-2.0888092157614
0.46	-1.9874479192092
0.462	-1.87038760915745
0.464	-2.10994674600406
0.466	-2.08513974714266
0.468	-2.02100311646408
0.47	-1.95128711677876
0.472	-1.96767860488831
0.474	-1.88239747936836
0.476	-1.84899915145118
0.478	-1.81378147021981
0.48	-1.77797789217496
0.482	-1.74094623697344
0.484	-1.70195446194029
0.486	-1.78194298153565
0.488	-1.49656784159869
0.49	-1.55726570236014
0.492	-1.6154278169916
0.494	-1.63051749144907
0.496	-1.64913411167978
0.498	-2.01999268019507
0.5	-1.86675467555962
0.502	-1.81442122726607
0.504	-1.82713300877453
0.506	-1.95678726419302
0.508	-1.84155631138
0.51	-1.83656309979237
0.512	-1.85208374789437
0.514	-1.83342958059159
0.516	-1.82713300877453
0.518	-1.77665294949264
0.52	-1.83342958059159
0.522	-1.79505479575241
0.524	-1.90188018238359
0.526	-1.86310785356657
0.528	-1.96875978198049
0.53	-2.02953596117081
0.532	-2.10238379687855
0.534	-2.17352631469149
0.536	-2.13927812164939
0.538	-2.14928418687987
0.54	-2.13165589185163
0.542	-2.11741698740796
0.544	-2.06552871515763
0.546	-2.04970718815177
0.548	-1.96225104668306
0.55	-1.95843021085497
0.552	-2.01491966408194
0.554	-1.79505479575241
0.556	-1.85208374789437
0.558	-1.94575046364526
0.56	-1.41594461359631
0.562	-1.94852336223267
0.564	-1.74504647329862
0.566	-1.95678726419302
0.568	-1.75725807752376
0.57	-1.41594461359631
0.572	-1.55884932010117
0.574	-1.49242960864477
0.576	-1.43757282265764
0.578	-1.41332926514586
0.58	-1.2703712626414
0.582	-1.68268338872907
0.584	-1.95678726419302
0.586	-1.97199466437769
0.588	-1.99688893593093
0.59	-2.00621553539632
0.592	-2.16073356800161
0.594	-1.96225104668306
0.596	-1.88239747936836
0.598	-1.8353108715775
0.6	-1.88775199211041
0.602	-1.86796719505412
0.604	-1.79505479575241
0.606	-1.85331486087254
0.608	-1.75523206892809
0.61	-1.66748014365257
0.612	-1.73820446840967
0.614	-1.6312673805596
0.616	-1.50809350075062
0.618	-1.50316499533538
0.62	-1.5978572300545
0.622	-1.78457827048385
0.624	-2.10773200271405
0.626	-1.85638583936253
0.628	-2.28156594099196
0.63	-2.3217420063
0.632	-2.31898997152449
0.634	-2.32717340595191
0.636	-2.29756356938686
0.638	-2.29578859519339
0.64	-2.2690094527754
0.642	-2.25304852229114
0.644	-2.25437569168231
0.646	-2.23016601220901
0.648	-2.20268447556572
0.65	-2.1940398732307
0.652	-2.21300124565987
0.654	-2.16756827483143
0.656	-2.18136532541944
0.658	-2.15870663570296
0.66	-2.14513668531853
0.662	-2.14804318037609
0.664	-2.15257997924526
0.666	-2.09744040868758
0.668	-2.19593227780431
0.67	-2.14679939494306
0.672	-2.09608540303058
0.674	-2.14011878982756
0.676	-2.09789142786746
0.678	-1.90595987223829
0.68	-2.05454029932456
0.682	-2.03152920599472
0.684	-2.06883786513969
0.686	-1.97253255162246
0.688	-1.69982848303091
0.69	-1.78260241106167
0.692	-1.86127922475937
0.694	-1.71742912955097
0.696	-1.72300592473199
0.698	-1.69769870051934
0.7	-1.59477760299741
0.702	-1.59246322514156
0.704	-1.66237039649521
0.706	-1.54133015296539
0.708	-1.62374882273927
0.71	-1.76933668579754
0.712	-1.79179197004259
0.714	-1.80929201858669
0.716	-1.75523206892809
0.718	-2.03152920599472
0.72	-1.97949241552982
0.722	-2.05067651457244
0.724	-2.11215346960401
0.726	-2.10417169011952
